episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy,total_water_mm,total_nitrogen_kgha,vs_baseline_pct
121,cotton,-110.6714,-80.8686,-5.375106,109.746391,0.700229,2315.0,210.0,47.07
122,cotton,-115.4395,-81.4898,-7.200614,127.810165,0.710841,2390.0,210.0,46.66
123,maize,-47.9061,-81.4588,-0.000686,9.288055,0.002641,1875.0,210.0,46.68
124,maize,-50.5918,-81.4887,-0.000646,5.710282,0.002431,1845.0,210.0,46.66
125,maize,-43.2527,-80.8026,-0.00047,20.255898,0.002439,1795.0,210.0,47.11
126,maize,-49.9006,-80.163,0.01498,2.712418,0.002231,1855.0,210.0,47.53
127,maize,-47.6811,-80.1459,-0.014233,6.355316,0.002499,1825.0,210.0,47.54
128,maize,-48.4898,-79.4408,0.000347,5.221888,0.002509,1845.0,210.0,48.0
129,cotton,-112.9633,-80.0886,5.928462,101.083481,0.736728,2330.0,210.0,47.58
130,maize,-47.7931,-80.0773,-0.000393,4.809875,0.002852,1825.0,210.0,47.59
131,maize,-49.0709,-80.086,0.000274,13.63795,0.002955,1865.0,210.0,47.58
132,cotton,-116.9058,-80.7356,4.935822,119.376389,0.839506,2390.0,210.0,47.16
133,maize,-47.5362,-80.7207,0.005281,8.446787,0.003039,1825.0,210.0,47.17
134,cotton,-117.6694,-81.4781,2.303355,75.746216,0.824052,2425.0,210.0,46.67
135,maize,-44.5251,-80.8031,-0.081375,17.472567,0.003303,1785.0,210.0,47.11
136,maize,-47.6689,-80.8162,-0.000674,7.547409,0.002947,1835.0,210.0,47.1
137,maize,-46.0983,-80.1056,-0.000642,9.855006,0.002644,1775.0,210.0,47.57
138,maize,-48.2345,-79.3318,0.000282,7.107862,0.002339,1855.0,210.0,48.08
139,cotton,-122.7282,-79.3943,2.00944,46.166,0.8538,2510.0,210.0,48.03
140,cotton,-114.8116,-80.0777,0.339714,37.385117,0.750143,2380.0,210.0,47.59
141,cotton,-114.6367,-80.745,-0.993329,24.473547,0.764818,2370.0,210.0,47.15
142,maize,-53.4605,-80.7923,0.000725,42.330811,0.001815,1895.0,210.0,47.12
143,maize,-46.7751,-80.7704,0.000145,9.529343,0.0016,1805.0,210.0,47.13
144,maize,-48.0893,-80.7421,-0.000116,7.465363,0.00146,1825.0,210.0,47.15
145,maize,-45.6913,-80.0169,-0.000367,14.056762,0.001263,1805.0,210.0,47.63
146,maize,-50.6037,-80.0421,-0.000258,9.130928,0.001192,1845.0,210.0,47.61
147,cotton,-105.7224,-79.8134,-5.198831,127.085243,0.597043,2235.0,210.0,47.76
148,cotton,-117.7843,-80.5506,-7.621076,119.505928,0.762647,2415.0,210.0,47.28
149,cotton,-112.9324,-80.4628,-5.353338,84.438484,0.762289,2345.0,210.0,47.34
150,cotton,-108.1127,-81.0947,-2.121257,36.900208,0.708116,2250.0,210.0,46.92
151,maize,-48.7797,-80.3684,0.000438,12.350248,0.001278,1875.0,210.0,47.4
152,cotton,-113.8561,-81.0105,3.204756,57.666283,0.783192,2360.0,210.0,46.98
153,maize,-46.9353,-80.2796,0.000961,37.545193,0.001385,1865.0,210.0,47.45
154,cotton,-119.5075,-80.2053,4.469754,80.443245,0.785015,2460.0,210.0,47.5
155,cotton,-114.1162,-80.8764,3.615667,65.558075,0.784233,2365.0,210.0,47.06
156,maize,-47.0283,-80.8708,-9.2e-05,11.661273,0.001779,1835.0,210.0,47.07
157,maize,-47.4479,-80.8228,-0.000223,6.915841,0.002076,1815.0,210.0,47.1
158,maize,-45.2948,-80.0174,-1.6e-05,6.476032,0.002517,1875.0,210.0,47.63
159,cotton,-123.3104,-79.9345,-5.052682,93.224045,0.699112,2535.0,210.0,47.68
160,maize,-45.4862,-79.9046,0.0002,6.008799,0.003479,1805.0,210.0,47.7
161,maize,-45.0918,-79.0499,0.000986,15.942993,0.004488,1825.0,210.0,48.26
