episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
500,maize,88,2.0723,7192.97,10,0.0
500,maize,89,2.0716,7438.01,10,0.0
500,maize,90,2.0716,7672.61,10,0.0
500,maize,91,2.069,7907.21,0,0.0
500,maize,92,2.0626,8141.82,0,0.0
500,maize,93,2.0526,8376.42,0,0.0
500,maize,94,2.0389,8611.02,0,0.0
500,maize,95,2.0217,8845.62,0,0.0
500,maize,96,2.0013,9080.23,0,0.0
500,maize,97,1.9776,9314.83,0,0.0
500,maize,98,1.9512,9549.43,0,0.0
500,maize,99,1.9223,9775.73,0,0.0
500,maize,100,1.8908,9999.5,0,0.0
500,maize,101,1.8571,10224.02,0,0.0
500,maize,102,1.8209,10435.73,0,0.0
500,maize,103,1.7824,10637.64,0,0.0
500,maize,104,1.7421,10837.45,0,0.0
500,maize,105,1.7002,11033.18,0,0.0
500,maize,106,1.657,11215.59,0,0.0
500,maize,107,1.6128,11394.47,0,0.0
500,maize,108,1.568,11585.61,0,0.0
500,maize,109,1.5236,11787.62,0,0.0
500,maize,110,1.478,11973.57,0,0.0
500,maize,111,1.432,12129.4,0,0.0
500,maize,112,1.3859,12305.93,0,0.0
500,maize,113,1.3406,12472.8,0,0.0
500,maize,114,1.2949,12630.37,0,0.0
500,maize,115,1.2491,12768.09,0,0.0
500,maize,116,1.2034,12868.88,0,0.0
500,maize,117,1.1582,13003.11,0,0.0
500,maize,118,1.1139,13018.17,0,0.0
500,maize,119,1.0722,13110.58,0,0.0
500,maize,120,1.0327,13221.08,0,0.0
500,maize,121,0.994,13329.15,0,0.0
500,maize,122,0.9558,13427.2,0,0.0
500,maize,123,0.9182,13513.73,0,0.0
500,maize,124,0.8813,13597.54,0,0.0
500,maize,125,0.845,13665.28,0,0.0
500,maize,126,0.8098,13726.12,0,0.0
500,maize,127,0.7757,13781.64,0,0.0
500,maize,128,0.7425,13836.2,0,0.0
500,maize,129,0.7104,13890.27,0,0.0
500,maize,130,0.7104,13890.27,0,0.0
