episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy_water,entropy_nitrogen,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
147,maize,16.2796,15.2881,-0.031664,0.436169,0.2535,0.7646,769.0,210.0,100.05,7414.6,1182.25,981.41
148,maize,16.3011,15.3383,0.228433,2.753254,0.2522,1.1682,749.0,440.0,100.05,7428.1,967.63,986.06
149,maize,20.1686,15.346,0.320765,8.806704,0.2417,1.0526,748.0,245.0,100.05,7717.7,1235.63,985.45
150,maize,12.3783,15.2978,0.023909,1.054782,0.2249,1.0718,749.0,410.0,100.05,6813.3,843.92,985.04
151,maize,17.0506,15.2908,0.332559,6.386491,0.2829,1.0844,753.0,265.0,100.05,7410.5,1135.81,984.52
152,maize,16.7431,15.2828,0.332755,4.462611,0.2467,1.1623,747.0,230.0,100.05,7077.2,1091.11,983.8
153,maize,11.892,15.2646,-0.139619,1.33066,0.2831,1.1041,786.0,375.0,100.05,6827.1,860.17,983.04
154,maize,12.7189,15.2131,-0.048419,0.872171,0.2668,1.2458,750.0,615.0,100.05,6087.4,456.84,975.66
155,maize,10.1402,15.1442,-0.034889,2.609179,0.2788,1.3846,741.0,285.0,100.05,6248.2,832.44,973.34
156,maize,14.7418,15.1131,0.030736,0.976259,0.2799,1.1887,738.0,255.0,100.05,6039.6,812.1,969.74
157,maize,14.2458,15.0627,0.051906,0.898882,0.2836,1.1809,762.0,385.0,100.05,7095.5,931.67,970.56
158,maize,20.6599,15.1105,0.5755,12.597849,0.254,1.0533,750.0,285.0,100.05,7764.6,1206.15,973.3
159,maize,17.5033,15.1612,0.380974,5.217736,0.2813,1.0151,765.0,395.0,100.05,7570.6,1038.66,976.8
160,maize,13.5483,15.1452,-0.048224,1.017612,0.2852,1.1818,764.0,350.0,100.05,6633.3,849.94,975.25
161,maize,18.5664,15.1736,0.252776,4.142768,0.2824,1.0093,741.0,200.0,100.05,7315.7,1184.34,978.86
162,maize,17.6053,15.1575,0.251662,3.257074,0.2835,1.1418,749.0,245.0,100.05,7198.0,1105.11,978.11
163,maize,12.4155,15.0901,-0.344883,3.349355,0.3147,1.2901,762.0,285.0,100.05,6792.9,956.02,976.74
164,maize,15.8806,15.0624,0.060745,2.084569,0.2913,1.0252,737.0,415.0,100.05,6713.0,821.04,974.83
165,maize,10.3573,15.0102,-0.492056,10.349441,0.2899,1.2311,764.0,355.0,100.05,6023.4,692.46,973.3
166,maize,17.1658,15.0152,0.119837,0.885545,0.275,0.9856,775.0,280.0,100.05,7380.1,1100.03,975.93
167,maize,14.2003,14.9397,-0.13495,1.344624,0.2696,1.2822,766.0,350.0,100.05,7279.7,1010.33,974.07
168,maize,11.2343,14.9214,-0.356493,4.817686,0.2899,1.0999,755.0,370.0,100.05,6549.6,814.4,974.1
169,maize,18.3471,14.983,0.045403,1.369704,0.249,1.0857,742.0,260.0,100.05,7304.3,1120.86,974.75
170,maize,11.1426,14.9433,-0.528363,6.072936,0.2718,1.1549,781.0,425.0,100.05,6808.4,808.49,973.8
