episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,30.0,0.0
500,maize,0,0.0,0.0,30.0,0.0
500,maize,0,0.0,0.0,20.0,0.0
500,maize,0,0.0,0.0,10.0,0.0
500,maize,0,0.0,0.0,30.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,30.0,0.0
500,maize,0,0.0,0.0,20.0,0.0
500,maize,0,0.0,0.0,40.0,0.0
500,maize,0,0.0,0.0,40.0,0.0
500,maize,0,0.0,0.0,20.0,0.0
500,maize,0,0.0,0.0,30.0,0.0
500,maize,0,0.0,0.0,10.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,10.0,0.0
500,maize,0,0.0,0.0,10.0,0.0
500,maize,0,0.0,0.0,20.0,0.0
500,maize,1,0.0,0.0,0.0,0.0
500,maize,2,0.0,0.0,20.0,0.0
500,maize,3,0.0,0.0,30.0,0.0
500,maize,4,0.0,0.0,30.0,0.0
500,maize,5,0.0,0.0,0.0,0.0
500,maize,6,0.0,0.0,10.0,0.0
500,maize,7,0.0,0.0,20.0,0.0
500,maize,8,0.0,0.0,0.0,0.0
500,maize,9,0.0,0.0,0.0,0.0
500,maize,10,0.0,0.0,20.0,0.0
500,maize,11,0.0,0.0,20.0,0.0
500,maize,12,0.0,0.0,30.0,0.0
500,maize,13,0.0021,28.8,20.0,0.0
500,maize,14,0.0036,28.8,0.0,0.0
500,maize,15,0.0047,28.8,0.0,0.0
500,maize,16,0.0066,28.8,20.0,0.0
500,maize,17,0.0113,28.8,30.0,0.0
500,maize,18,0.0166,28.8,0.0,0.0
500,maize,19,0.0206,28.8,40.0,0.0
500,maize,20,0.0339,28.8,10.0,0.0
500,maize,21,0.0476,28.8,40.0,0.0
500,maize,22,0.0581,32.06,20.0,0.0
500,maize,23,0.0717,37.36,0.0,0.0
500,maize,24,0.0854,43.02,10.0,0.0
500,maize,25,0.1042,51.3,20.0,0.0
500,maize,26,0.133,65.14,40.0,0.0
500,maize,27,0.1489,74.3,40.0,0.0
500,maize,28,0.1707,87.78,30.0,0.0
500,maize,29,0.1988,105.93,40.0,0.0
500,maize,30,0.2124,117.98,0.0,0.0
500,maize,31,0.2411,139.69,30.0,0.0
500,maize,32,0.27,151.54,40.0,0.0
500,maize,33,0.2712,159.57,20.0,0.0
500,maize,34,0.2704,166.71,20.0,0.0
500,maize,35,0.2569,166.66,30.0,0.0
500,maize,36,0.2442,166.61,30.0,0.0
500,maize,37,0.232,166.57,0.0,0.0
500,maize,38,0.2232,167.83,20.0,0.0
500,maize,39,0.2172,170.23,10.0,0.0
500,maize,40,0.2098,173.48,40.0,0.0
500,maize,41,0.2066,176.98,30.0,0.0
500,maize,42,0.258,206.0,40.0,0.0
500,maize,43,0.3114,240.28,20.0,0.0
500,maize,44,0.3794,281.81,0.0,0.0
500,maize,45,0.4524,328.2,20.0,0.0
500,maize,46,0.5499,393.36,10.0,0.0
500,maize,47,0.6659,475.32,0.0,0.0
500,maize,48,0.7885,567.03,40.0,0.0
500,maize,49,0.8928,648.89,0.0,0.0
500,maize,50,0.9868,725.88,0.0,0.0
500,maize,51,1.0895,813.7,40.0,0.0
500,maize,52,1.2343,944.69,20.0,0.0
500,maize,53,1.3782,1083.16,10.0,0.0
500,maize,54,1.4909,1197.01,30.0,0.0
500,maize,55,1.582,1292.88,20.0,0.0
500,maize,56,1.6882,1412.29,40.0,0.0
500,maize,57,1.7684,1515.08,30.0,0.0
500,maize,58,1.8252,1604.25,30.0,0.0
500,maize,59,1.8628,1681.33,40.0,0.0
500,maize,60,1.883,1745.43,20.0,0.0
500,maize,61,1.8981,1810.12,30.0,0.0
500,maize,62,1.9169,1886.19,40.0,0.0
500,maize,63,1.9285,1958.67,40.0,0.0
500,maize,64,1.9499,2053.09,30.0,0.0
500,maize,65,1.9851,2178.47,0.0,0.0
500,maize,66,2.0241,2324.13,0.0,0.0
500,maize,67,2.0523,2467.57,10.0,0.0
500,maize,68,2.065,2598.5,20.0,0.0
500,maize,69,2.1113,2800.76,40.0,0.0
500,maize,70,2.1192,2966.93,20.0,0.0
500,maize,71,2.0952,3080.79,20.0,0.0
500,maize,72,2.0703,3209.12,20.0,0.0
500,maize,73,2.0362,3320.01,20.0,0.0
500,maize,74,2.0005,3433.98,0.0,0.0
500,maize,75,1.9596,3534.09,10.0,0.0
500,maize,76,1.9126,3613.62,20.0,0.0
500,maize,77,1.8609,3673.03,40.0,0.0
500,maize,78,1.8134,3743.81,10.0,0.0
500,maize,79,1.7739,3841.47,40.0,0.0
500,maize,80,1.7349,3936.1,20.0,0.0
500,maize,81,1.6948,4022.8,30.0,0.0
500,maize,82,1.7124,4219.81,20.0,0.0
500,maize,83,1.7444,4423.61,40.0,0.0
500,maize,84,1.7944,4687.09,20.0,0.0
500,maize,85,1.8433,4948.13,0.0,0.0
500,maize,86,1.8257,5179.2,10.0,0.0
500,maize,87,1.8079,5410.34,0.0,0.0
500,maize,88,1.7901,5634.02,0.0,0.0
500,maize,89,1.7727,5865.34,40.0,0.0
500,maize,90,1.7553,6087.83,0.0,0.0
500,maize,91,1.7382,6303.69,0.0,0.0
500,maize,92,1.7217,6518.39,10.0,0.0
500,maize,93,1.7062,6735.22,0.0,0.0
500,maize,94,1.6919,6901.15,0.0,0.0
500,maize,95,1.6791,7068.29,20.0,0.0
500,maize,96,1.6678,7287.5,20.0,0.0
500,maize,97,1.6531,7502.46,0.0,0.0
500,maize,98,1.6358,7725.93,10.0,0.0
500,maize,99,1.6162,7936.83,20.0,0.0
500,maize,100,1.594,8135.43,10.0,0.0
500,maize,101,1.5699,8367.71,10.0,0.0
500,maize,102,1.5438,8555.04,30.0,0.0
500,maize,103,1.5154,8744.33,40.0,0.0
500,maize,104,1.4856,8977.97,40.0,0.0
500,maize,105,1.4544,9197.78,40.0,0.0
500,maize,106,1.4215,9387.8,30.0,0.0
500,maize,107,1.387,9546.89,40.0,0.0
500,maize,108,1.3511,9705.29,30.0,0.0
500,maize,109,1.3147,9852.63,0.0,0.0
500,maize,110,1.2778,10020.4,0.0,0.0
500,maize,111,1.2416,10182.82,30.0,0.0
500,maize,112,1.2047,10344.15,30.0,0.0
500,maize,113,1.1668,10472.47,20.0,0.0
500,maize,114,1.1286,10582.17,0.0,0.0
500,maize,115,1.091,10714.86,40.0,0.0
500,maize,116,1.0535,10842.33,10.0,0.0
500,maize,117,1.0165,10959.82,40.0,0.0
500,maize,118,0.9795,11046.31,20.0,0.0
500,maize,119,0.9425,11127.98,10.0,0.0
500,maize,120,0.9062,11207.79,30.0,0.0
500,maize,121,0.8705,11288.09,0.0,0.0
500,maize,122,0.8359,11363.55,30.0,0.0
500,maize,123,0.8028,11444.69,10.0,0.0
500,maize,124,0.7704,11507.98,0.0,0.0
500,maize,125,0.739,11564.35,0.0,0.0
500,maize,126,0.7087,11633.64,40.0,0.0
500,maize,127,0.6792,11701.11,40.0,0.0
500,maize,128,0.6505,11763.59,20.0,0.0
500,maize,129,0.6227,11808.7,0.0,0.0
500,maize,130,0.5961,11863.91,10.0,0.0
500,maize,131,0.5706,11914.67,0.0,0.0
500,maize,132,0.5463,11964.41,10.0,0.0
500,maize,133,0.5463,11964.41,10.0,0.0
500,maize,134,0.5463,11964.41,20.0,0.0
500,maize,134,0.5463,11964.41,40.0,0.0
1000,maize,0,0.0,0.0,20.0,0.0
1000,maize,0,0.0,0.0,30.0,0.0
1000,maize,0,0.0,0.0,30.0,0.0
1000,maize,0,0.0,0.0,20.0,0.0
1000,maize,0,0.0,0.0,30.0,0.0
1000,maize,0,0.0,0.0,20.0,0.0
